Using device: cuda

Loading language model and tokenizer...
Loading embedding model and tokenizer...
Loading dataset...
Original data size: 36718
Filtered data size: 17148
Total (filtered) data points: 17148
Reference data points (15%): 2572
Training data points (68%): 11644
Validation data points (17%): 2911

Creating training and validation sequences...
Holdout evaluation before iterations:
Prompt:  However , as Hung notes , he " is the only Chinese poet whose influence grew with time " , and his works began to increase in popularity in the ninth century . Early positive comments came from Bai Juyi , who praised the moral sentiments of some of Du Fu 's works ( although he found these in only a
Candidate 1:  few places of the country ), , in which "the poetry becomes more romantic and self-conscious rather than full-fledged poetry". .

The late Nineteenth–First Century of Chinese Literature, China, a very fine century of Chinese poets, was dominated by many Chinese poets ( among them Gao Tengf
Candidate 2:  vague sense ).

The book, The Long History of the Song Hao (1st English 1570), was published by the American American College of Artists in September 1571. The author, who was once president of the United States of America, praised the great work of Du Fu 's successor in Japan as
Candidate 3:  brief period of time ) , as well as general admirers. A number of influential Chinese poets published works like " The Great Chinese Song". Another noteworthy poem for the Chinese poetry of the seventeenth century was " The Golden Song" by Li Ling (or " the Golden Song", Chinese for " golden orchid") ,
Prompt:  In 2000 Boulter had a guest @-@ starring role on the television series The Bill ; he portrayed " Scott Parry " in the episode , " In Safe Hands " . Boulter starred as " Scott " in the play Herons written by Simon Stephens , which was performed in 2001 at the Royal Court
Candidate 1: .  and in 1997 " Herons was featured on the film "The Man with the Dragon Tattoo" , which is credited with promoting the story of Herons''.  In 2002 boulter starring as " Sarah  in the " Sarah - s "  season  was featured in the television miniseries "
Candidate 2:  of Versailles " ". (Sheikh)

In March 2003, Boulter was cast as " Sheik" in the play "Farewell " with " Vadim " " in the role .

He has also starred in the play "The Man Who Died" as both " She
Candidate 3: 

In 1982 He also played an American as Dr. Jack Homan , and in 1985 also played a native American in New York , as well as a Spanish native as   Marjorie " in the musical Herons , and in 1987 he played a native Spanish American in a play He " . He also
Prompt:  He had a recurring role in 2003 on two episodes of The Bill , as character " Connor Price " . In 2004 Boulter landed a role as " Craig " in the episode " Teddy 's Story " of the television series The Long Firm ; he starred alongside actors Mark Strong and Derek Jacobi . Boulter
Candidate 1: 's real name is James Wylie & was born in Chicago, Illinois and moved to New Zealand in 1962. In 1976, Boulter graduated from Southern Illinois University with a degree in political science. He then began his career as an instructor at the University of Maryland. He also worked at the Harvard University Medical School
Candidate 2:  was a cast member on the show during the 1980s.

On October 29th 2000 John Kivira won the first ever Golden Globe for his portrayal of the character of " The Doctor " . He returned for his second outing in 2000 , to play  the Doctor  in a film about The Doctor, starring
Candidate 3:  also worked as The Great British Bake Off's host in 2010, and in 2012, was confirmed as the winner of the ITV soap opera, The Cooked by Chris, which aired on Sky News. Boulter was originally introduced in the episode " The Last Straw " on 4 July 2013.

Boulter
Fine-tuning Model 0 on initial training data...
{'loss': 4.2344, 'grad_norm': 21.62582778930664, 'learning_rate': 4.9941775836972346e-05, 'epoch': 0.0}
{'loss': 3.9938, 'grad_norm': 21.231739044189453, 'learning_rate': 4.9868995633187777e-05, 'epoch': 0.01}
{'loss': 4.0208, 'grad_norm': 21.6982421875, 'learning_rate': 4.97962154294032e-05, 'epoch': 0.01}
{'loss': 3.9499, 'grad_norm': 20.922590255737305, 'learning_rate': 4.972343522561864e-05, 'epoch': 0.02}
{'loss': 3.9, 'grad_norm': 20.480968475341797, 'learning_rate': 4.965065502183406e-05, 'epoch': 0.02}
{'loss': 3.8845, 'grad_norm': 20.127185821533203, 'learning_rate': 4.957787481804949e-05, 'epoch': 0.03}
{'loss': 3.777, 'grad_norm': 22.49335289001465, 'learning_rate': 4.9505094614264924e-05, 'epoch': 0.03}
{'loss': 3.9053, 'grad_norm': 24.265491485595703, 'learning_rate': 4.9432314410480355e-05, 'epoch': 0.03}
{'loss': 3.961, 'grad_norm': 22.16985511779785, 'learning_rate': 4.935953420669578e-05, 'epoch': 0.04}
{'loss': 3.8309, 'grad_norm': 21.32478141784668, 'learning_rate': 4.928675400291121e-05, 'epoch': 0.04}
{'loss': 3.9138, 'grad_norm': 22.577125549316406, 'learning_rate': 4.921397379912664e-05, 'epoch': 0.05}
{'loss': 3.8501, 'grad_norm': 21.43926429748535, 'learning_rate': 4.9141193595342064e-05, 'epoch': 0.05}
{'loss': 3.8819, 'grad_norm': 21.24155616760254, 'learning_rate': 4.90684133915575e-05, 'epoch': 0.06}
{'loss': 3.8155, 'grad_norm': 18.352548599243164, 'learning_rate': 4.8995633187772926e-05, 'epoch': 0.06}
{'loss': 3.675, 'grad_norm': 19.977310180664062, 'learning_rate': 4.892285298398836e-05, 'epoch': 0.07}
{'loss': 3.7972, 'grad_norm': 18.72336769104004, 'learning_rate': 4.885007278020379e-05, 'epoch': 0.07}
{'loss': 3.8359, 'grad_norm': 17.26075553894043, 'learning_rate': 4.877729257641921e-05, 'epoch': 0.07}
{'loss': 3.8991, 'grad_norm': 20.151872634887695, 'learning_rate': 4.870451237263465e-05, 'epoch': 0.08}
{'loss': 3.7052, 'grad_norm': 18.941219329833984, 'learning_rate': 4.863173216885007e-05, 'epoch': 0.08}
{'loss': 3.7282, 'grad_norm': 20.721956253051758, 'learning_rate': 4.8558951965065504e-05, 'epoch': 0.09}
{'loss': 3.9292, 'grad_norm': 19.30780029296875, 'learning_rate': 4.8486171761280935e-05, 'epoch': 0.09}
{'loss': 3.828, 'grad_norm': 19.35273551940918, 'learning_rate': 4.8413391557496366e-05, 'epoch': 0.1}
{'loss': 3.9727, 'grad_norm': 19.9471492767334, 'learning_rate': 4.834061135371179e-05, 'epoch': 0.1}
{'loss': 3.8292, 'grad_norm': 18.01142120361328, 'learning_rate': 4.826783114992722e-05, 'epoch': 0.1}
{'loss': 3.8629, 'grad_norm': 18.738893508911133, 'learning_rate': 4.819505094614265e-05, 'epoch': 0.11}
{'loss': 3.8076, 'grad_norm': 18.373985290527344, 'learning_rate': 4.812227074235808e-05, 'epoch': 0.11}
{'loss': 3.8107, 'grad_norm': 18.351806640625, 'learning_rate': 4.804949053857351e-05, 'epoch': 0.12}
{'loss': 3.9283, 'grad_norm': 20.01706314086914, 'learning_rate': 4.797671033478894e-05, 'epoch': 0.12}
{'loss': 3.8143, 'grad_norm': 20.58317756652832, 'learning_rate': 4.790393013100437e-05, 'epoch': 0.13}
{'loss': 3.8516, 'grad_norm': 18.205564498901367, 'learning_rate': 4.78311499272198e-05, 'epoch': 0.13}
{'loss': 3.7524, 'grad_norm': 17.333690643310547, 'learning_rate': 4.775836972343522e-05, 'epoch': 0.14}
{'loss': 3.7355, 'grad_norm': 21.74169158935547, 'learning_rate': 4.768558951965066e-05, 'epoch': 0.14}
{'loss': 3.7703, 'grad_norm': 17.40770149230957, 'learning_rate': 4.7612809315866085e-05, 'epoch': 0.14}
{'loss': 3.6781, 'grad_norm': 16.279462814331055, 'learning_rate': 4.7540029112081515e-05, 'epoch': 0.15}
{'loss': 3.8485, 'grad_norm': 19.608137130737305, 'learning_rate': 4.7467248908296946e-05, 'epoch': 0.15}
{'loss': 3.8592, 'grad_norm': 17.479351043701172, 'learning_rate': 4.739446870451238e-05, 'epoch': 0.16}
{'loss': 3.9094, 'grad_norm': 20.77849769592285, 'learning_rate': 4.732168850072781e-05, 'epoch': 0.16}
{'loss': 3.7353, 'grad_norm': 20.31170654296875, 'learning_rate': 4.724890829694323e-05, 'epoch': 0.17}
{'loss': 3.7016, 'grad_norm': 18.046489715576172, 'learning_rate': 4.717612809315866e-05, 'epoch': 0.17}
{'loss': 3.7325, 'grad_norm': 21.112974166870117, 'learning_rate': 4.7103347889374093e-05, 'epoch': 0.17}
{'loss': 3.7726, 'grad_norm': 19.144882202148438, 'learning_rate': 4.7030567685589524e-05, 'epoch': 0.18}
{'loss': 3.954, 'grad_norm': 18.516218185424805, 'learning_rate': 4.695778748180495e-05, 'epoch': 0.18}
{'loss': 3.7289, 'grad_norm': 17.99506378173828, 'learning_rate': 4.688500727802038e-05, 'epoch': 0.19}
{'loss': 3.7843, 'grad_norm': 22.516836166381836, 'learning_rate': 4.681222707423581e-05, 'epoch': 0.19}
{'loss': 3.8159, 'grad_norm': 19.276748657226562, 'learning_rate': 4.673944687045124e-05, 'epoch': 0.2}
{'loss': 3.835, 'grad_norm': 20.176952362060547, 'learning_rate': 4.666666666666667e-05, 'epoch': 0.2}
{'loss': 3.938, 'grad_norm': 20.352436065673828, 'learning_rate': 4.6593886462882096e-05, 'epoch': 0.21}
{'loss': 3.7484, 'grad_norm': 20.543968200683594, 'learning_rate': 4.652110625909753e-05, 'epoch': 0.21}
